序号,题型,题干,答案选项A,答案选项B,答案选项C,答案选项D,试题（选项E）,正确答案
390,多选, 大模型的典型特点包括：（ ）                                                  , 参数量超过10亿               , 需要大规模数据训练             , 只能处理文本任务               , 具备涌现能力                   ,               , ABD  
391,多选, 大模型可能带来的伦理风险包括：（ ）                                          , 生成有害内容                 , 加剧偏见                       , 侵犯隐私                       , 能源消耗大                     ,               , ABCD 
392,多选, 以下哪些是大模型的典型应用？（ ）                                            , 对话系统                     , 文本生成                       , 代码补全                       , 蛋白质结构预测                 ,               , ABCD 
393,多选, 大模型部署面临的挑战包括：（ ）                                              , 计算资源需求高               , 推理延迟大                     , 模型解释性差                   , 训练数据不可见                 ,               , ABCD 
394,多选,将分布的、异构数据源中的数据抽取至临时中间层后，进行（    ）等操作，最后将数据加载到目标数据库或数据文件。以下选项是正确的。,清洗,转换,继承,抽取,存储,ABC
395,多选,“从以前的结果获取文件”组件在（    ）等处理、使用或者创建一个文件时，文件被捕获并附加到结果。,转换,任务,文件细节,任务条目,字段,ABCD
396,多选,ETL工具在不同的任务和转换环节生成的日志信息，会发送给项目管理人员对任务流程进行（    ），以便维护和优化ETL任务流程。,提取,字段转换,监控,格式化,分析,CE
397,多选,不规则的取值是指对（    ）的使用存在不统一和不规范的问题。,取值,单位,简称,类型,值域,ABC
398,多选,以下选项是插补缺失值的常用方法（    ）。,均值插补,方差插补,同类均值插补,正态分布插补,泊松分布插补,AC
399,多选,以下方法可以用来识别可能代表噪声的离群点（    ）。,数据统计描述,数据可视化,数据异常值剔除,插补缺失值,数据清洗,AB
400,多选,可采用以下方式进行数据平滑（    ）。,分箱,聚类,回归,挖掘,构造,ABC
401,判断,任何职业道德的使用范围都是无限的。（ ） ,正确,错误,,,,B
402,判断,职业道德是个人事业成功的显著标志。（ ） ,正确,错误,,,,B
403,判断,评价职业道德行为只需考虑效果，不必考虑动机。（ ） ,正确,错误,,,,B
404,判断,行业性是职业道德具有的特征之一。（ ） ,正确,错误,,,,A
405,判断,实现企业价值观、经营之道和企业发展战略目标的主体是职工，职工若不能接受企业的价值观和经营之道，不把这种价值观和经营之道落实于生产经营行为之中，企业价值观、经营之道也就只能是空中楼阁，企业发展目标也不可能实现。（ ） ,正确,错误,,,,A
406,判断,企业环境需要由职工来维护和爱护。（ ） ,正确,错误,,,,A
407,判断,职业道德的形式虽行业不同，但形式相同。（ ） ,正确,错误,,,,B
408,判断,树立质量意识是每一个职工劳动者恪守的职业道德。（ ） ,正确,错误,,,,A
409,判断,从业人员即使不喜欢某个工作，也要表现很喜欢的样子，这也是一种爱岗敬业。（ ） ,正确,错误,,,,B
410,判断,爱岗敬业要树立终生学习理念。（ ） ,正确,错误,,,,A
411,判断,ROM为只读存储器，只能读出不能写入。（ ） ,正确,错误,,,,A
412,判断,CPU和存储器合在一起称为主机。（ ） ,正确,错误,,,,B
413,判断,操作系统是对计算机资源进行管理的软件。（ ） ,正确,错误,,,,A
414,判断,分布式系统和网络系统的主要区别是独立性。（ ） ,正确,错误,,,,B
415,判断,以太网中是根据MAC地址区分不同设备。（ ） ,正确,错误,,,,A
416,判断,在计算机网络中，LAN指的是广域网。（ ） ,正确,错误,,,,B
417,判断,计算机病毒只会破坏软盘上的数据和文件。（ ） ,正确,错误,,,,B
418,判断,采用“加密狗”等硬件，可以防止非法拷贝软件。（ ） ,正确,错误,,,,A
419,判断,在动环监控系统的数据库服务器上安装了Windows2003系统，如果要使得BASS2100或者C3M系统的数据库支持4G以上的内存，那么应该安装32位企业版本。（ ） ,正确,错误,,,,B
420,判断,数据库中的数据一致性是指数据类型一致。（ ） ,正确,错误,,,,B
421,判断, 智能体必须具有物理形态。（ ）                                                ,正确,错误,                                ,                                ,               ,B
422,判断, 在强化学习中，AI智能体通过最大化累积奖励来学习最优策略。?（ ）              ,正确,错误,                                ,                                ,               ,A
423,判断,算法测试分析可以通过数据特征组合或者控制部分特征一致等方式，观察其他特征对算法效果的影响程度。（ ） ,正确,错误,,,,A
424,判断,软件测试是指使用人工或自动的手段，来运行或测试某个系统的过程。（ ） ,正确,错误,,,,A
425,判断,软件测试可以按照测试的手段分为手工测试和自动化测试。（ ） ,正确,错误,,,,A
426,判断,针对不同类型的算法需要采取对应的测试方法才能准确地评价模型的性能，如回归算法需要评估其分类结果的正确与否。（ ） ,正确,错误,,,,B
427,判断,回归算法模型的分类指标有平均绝对误差，均值误差，R方值和Recall。（ ） ,正确,错误,,,,B
428,判断,直接聚类法先把各个分类对象单独视为一类，然后根据距离最小的原则，依次选出一对分类对象，并成新类。（ ） ,正确,错误,,,,A
429,判断,下采样是对训练集里面样本数量较少的类别（少数类）进行过采样，合成新的样本来缓解类不平衡。（ ） ,正确,错误,,,,B
430,判断,在模型训练之前，需要将数据按照一定比例划分为训练集和验证集。（ ） ,正确,错误,,,,B
431,判断,人机界面是系统和用户之间进行交互和信息交换的媒介。（ ） ,正确,错误,,,,A
432,判断,人机交互与人机界面是两个完全相同的概念。（ ） ,正确,错误,,,,B
433,判断,设计任何人机界面一般必须考虑系统响应时间、用户求助机制、错误信息处理三个方面。（ ） ,正确,错误,,,,B
434,判断,人机界面设计过程中，建立用户模型时要充分考虑系统映像给出的信息，系统假想必须准确地反映系统的语法和语义信息。（ ） ,正确,错误,,,,B
435,判断,脑电仪系统不属于人机交互系统。（ ） ,正确,错误,,,,B
436,判断,一个交互界面的好坏，直接影响到软件开发的成败。（ ） ,正确,错误,,,,A
437,判断,图形用户界面是指采用图形方式显示的计算机操作用户界面。（ ） ,正确,错误,,,,A
438,判断,图形用户界面设计的目的是实现人机交互。（ ） ,正确,错误,,,,A
439,判断,具有高度一致的用户界面有利于降低培训和支持成本。（ ） ,正确,错误,,,,A
440,判断,界面设计师经常寻找合适的隐喻来进行界面设计，隐喻具有扩展性。（ ） ,正确,错误,,,,B
441,判断,开发融合大数据技术的智能计算平台，是实现海量数据快速有效采集和分析的重要支撑。（ ） ,正确,错误,,,,A
442,判断,针对日志数据进行离线或在线实时采集与处理是目前互联网行业比较常见的业务。（ ） ,正确,错误,,,,A
443,判断,数据标准化不会消除特征之间量纲和取值范围造成的影响。（ ） ,正确,错误,,,,B
444,判断,离差标准化保留了原始数据值之间的联系，是消除量纲和数据取值范围影响最简单的方法，但受离群点影响较大，适用于分布较为均匀的数据。（ ） ,正确,错误,,,,A
445,判断,数据处理是进行数据建模前的一个重要准备步骤，也是构建智能计算平台的一个重要前置步骤。（ ） ,正确,错误,,,,A
446,判断,数据处理为后续建模提供了重要的数据来源，极大影响数据建模结果的有效性和准确性。（ ） ,正确,错误,,,,A
447,判断,数据清洗的目的是过滤或修改不符合要求的数据。（ ） ,正确,错误,,,,A
448,判断,若有缺失值的特征可以转换为连续性特征，则可以将缺失值作为单独的一个类别。（ ） ,正确,错误,,,,B
449,判断,通常缺失值的分布更具有规律性，使用插补的方法及逆行处理可以减少信息的损失。（ ） ,正确,错误,,,,A
450,判断,拉格朗日插值公式结构紧凑。（ ） ,正确,错误,,,,A
451,判断,数据分析模型优化目标函数是使全局损失函数最大。（ ） ,正确,错误,,,,B
452,判断,经验风险可以由训练数据集的激活函数来确定。（ ） ,正确,错误,,,,B
453,判断,K折交叉验证需要将数据集分成k个互不相交的大小不同的数据集。（ ） ,正确,错误,,,,B
454,判断,交叉验证的优点是大大减少了计算量。（ ） ,正确,错误,,,,B
455,判断,两个变量的变化趋势相反时，两个变量之间的协方差是正值。（ ） ,正确,错误,,,,B
456,判断,如果两个变量的变化趋势相反，即其中一个大于自身的期望值，另外一个却小于自身的期望值，那么两个变量之间的协方差就是正直。（ ） ,正确,错误,,,, B
457,判断,标准差能反映一个数据集的聚集程度。（ ） ,正确,错误,,,,B
458,判断,标准误差和观测次数n有关，在实际测量中，观测次数n是无限的，真值只能用最可信赖（最佳）值来代替。（ ） ,正确,错误,,,,B
459,判断,参数估计希望用较少的样本去描述数据的总体分布，可以不用事先知道样本的总体分布。（ ） ,正确,错误,,,,B
460,判断,估计器经过不停的迭代，直到找到最优估计器，此时的模型就具有最优的置信度。（ ） ,正确,错误,,,,A
461,判断,Coze平台支持通过可视化界面快速搭建大模型Agent，无需复杂编程知识。（ ） ,正确,错误,,,,A
462,判断,大模型Agent只能进行简单问答，无法自定义流程和插件。（ ） ,正确,错误,,,,B
463,判断,在Coze平台上，可以为Agent配置不同的大模型能力和插件，满足多样化业务需求。（ ） ,正确,错误,,,,A
464,判断,大模型的推理能力可以通过结构化的Prompt和思维链方法进一步提升。（ ） ,正确,错误,,,,A
465,判断,基于Coze平台搭建的Agent可以集成外部API，实现数据调用和自动化处理。（ ） ,正确,错误,,,,A
466,判断,与时间复杂度类似，空间复杂度是指算法在计算机内执行时所需存储空间的度量。（ ） ,正确,错误,,,,A
467,判断,在Coze平台上发布的Agent可以通过网页、微信、钉钉等多渠道对接用户。（ ） ,正确,错误,,,,A
468,判断,大模型的输出内容无法通过指定格式实现结构化，输出总是非结构化文本。（ ） ,正确,错误,,,,B
469,判断,Coze平台支持对Agent的多轮对话流程进行配置，实现复杂业务逻辑。（ ） ,正确,错误,,,,A
470,判断,推断统计是研究如何利用样本数据来推断总体特征的统计方法。（ ） ,正确,错误,,,,A
471,判断,逻辑回归主要解决回归问题，是一种预测分析。（ ） ,正确,错误,,,,B
472,判断,对逻辑回归算法的效果评估一般采用曲线上面积指标来评价。（ ） ,正确,错误,,,,B
473,判断,纵向对比是不同事物在固定时间上的对比。（ ） ,正确,错误,,,,B
474,判断,不同品类之间的利润高低是一种纵向对比。（ ） ,正确,错误,,,,B
475,判断,大模型的知识获取主要依赖于大规模训练语料，而不是实时互联网检索。（ ） ,正确,错误,,,,A
476,判断,用人单位支付劳动者的工资不得低于当地平均工资标准。（ ） ,正确,错误,,,,B
477,判断,根据我国相关法律法规，劳动者不必缴纳工伤保险费。（ ） ,正确,错误,,,,A
478,判断,国家支持研究开发有利于未成年人健康成长的网络产品和服务，依法惩治利用网络从事危害未成年人身心健康的活动，为未成年人提供安全健康的网络环境。（ ） ,正确,错误,,,,A
479,判断,国家推进网络安全社会化服务体系建设，鼓励有关企业、机构开展网络安全认证，检测和风险评估等安全服务。（ ） ,正确,错误,,,,A
480,判断,软件著作权人不允许他人行使其软件著作权。（ ） ,正确,错误,,,,B
481,判断,发表权是指决定软件是否公之于众的权利。（ ） ,正确,错误,,,,A
482,判断,接入单位拟从事国际联网经营活动的，应当向有权受理从事国际联网经营活动申请的互联单位主管部门或主管单位申请领取国际联网经营许可证，未取得国际联网经营许可证的，不得从事国际联网经营业务。（ ） ,正确,错误,,,,A
483,判断,个人、法人和其他组织使用的计算机或计算机信息网络，需要进行国际联网的，必须通过接入网络进行国际联网。（ ） ,正确,错误,,,,A
484,判断, AI技术的发展完全依赖于大数据。（ ）                                          ,正确,错误,                                ,                                ,               ,B
485,判断, 深度学习模型可以不需要大量的标注数据。（ ）                                  ,正确,错误,                                ,                                ,               ,B
486,判断, AI技术可以完全替代人类进行创造性工作。（ ）                                  ,正确,错误,                                ,                                ,               ,B
487,判断, AI模型一旦训练完成，就不需要再进行更新或调整。（ ）                          ,正确,错误,                                ,                                ,               ,B
488,判断,OpenAI Developer Platform 中创建的 Assistants 可以看作是智能体的一种实现。( ),正确,错误,,,,A
489,判断,智能体必须依赖人类实时干预才能工作。(),正确,错误,,,,B
490,判断,马尔可夫决策过程（MDP）是强化学习的理论基础。(),正确,错误,,,,A
491,判断,智能体的目标函数必须由人类预先完全定义。(),正确,错误,,,,B
492,判断,让大模型扮演专家角色有助于提升输出内容的质量。（ ） ,正确,错误,,,,A
493,判断,分割符号可以帮助模型更好地理解输入部分之间的关系。（ ） ,正确,错误,,,,A
494,判断,指定大模型输出格式能提高结果的结构化和可用性。（ ） ,正确,错误,,,,A
495,判断,零样本提示（Zero-Shot）需要给模型提供多个示例。（ ） ,正确,错误,,,,B
496,判断,少样本提示（Few-Shot）通过给出示例帮助模型理解任务。（ ） ,正确,错误,,,,A
497,判断,思维链方法可以提升大模型的复杂推理能力。（ ） ,正确,错误,,,,A
498,判断,Python解释器主要用于帮助大模型进行数学和逻辑运算。（ ） ,正确,错误,,,,A
499,判断,将复杂任务分解成多个子任务会降低模型整体表现。（ ） ,正确,错误,,,,B
500,判断,结构化Prompt的层级结构可以用Markdown等标识符表示。（ ） ,正确,错误,,,,A
